datetime,signal
2025-07-01 07:55:00,BUY
2025-07-01 08:00:00,BUY
2025-07-01 08:05:00,BUY
2025-07-01 08:10:00,BUY
2025-07-01 08:15:00,BUY
2025-07-01 08:20:00,BUY
2025-07-01 08:25:00,BUY
2025-07-01 08:30:00,BUY
2025-07-01 08:35:00,BUY
2025-07-01 08:40:00,SELL
2025-07-01 08:45:00,SELL
2025-07-01 08:50:00,SELL
2025-07-01 08:55:00,SELL
2025-07-01 09:00:00,SELL
2025-07-01 09:05:00,SELL
2025-07-01 09:10:00,SELL
2025-07-01 09:15:00,SELL
2025-07-01 09:20:00,SELL
2025-07-01 09:25:00,SELL
2025-07-01 09:30:00,SELL
2025-07-01 09:35:00,SELL
2025-07-01 09:40:00,SELL
2025-07-01 09:45:00,SELL
2025-07-01 09:50:00,SELL
2025-07-01 09:55:00,SELL
2025-07-02 03:45:00,SELL
2025-07-02 03:50:00,SELL
2025-07-02 03:55:00,SELL
2025-07-02 04:00:00,SELL
2025-07-02 04:05:00,BUY
2025-07-02 04:10:00,BUY
2025-07-02 04:15:00,SELL
2025-07-02 04:20:00,SELL
2025-07-02 04:25:00,SELL
2025-07-02 04:30:00,SELL
2025-07-02 04:35:00,SELL
2025-07-02 04:40:00,SELL
2025-07-02 04:45:00,SELL
2025-07-02 04:50:00,SELL
2025-07-02 04:55:00,SELL
2025-07-02 05:00:00,SELL
2025-07-02 05:05:00,SELL
2025-07-02 05:10:00,SELL
2025-07-02 05:15:00,SELL
2025-07-02 05:20:00,SELL
2025-07-02 05:25:00,SELL
2025-07-02 05:30:00,SELL
2025-07-02 05:35:00,SELL
2025-07-02 05:40:00,SELL
2025-07-02 05:45:00,SELL
2025-07-02 05:50:00,SELL
2025-07-02 05:55:00,SELL
2025-07-02 06:00:00,SELL
2025-07-02 06:05:00,BUY
2025-07-02 06:10:00,SELL
2025-07-02 06:15:00,SELL
2025-07-02 06:20:00,SELL
2025-07-02 06:25:00,SELL
2025-07-02 06:30:00,SELL
2025-07-02 06:35:00,SELL
2025-07-02 06:40:00,SELL
2025-07-02 06:45:00,BUY
2025-07-02 06:50:00,SELL
2025-07-02 06:55:00,SELL
2025-07-02 07:00:00,SELL
2025-07-02 07:05:00,SELL
2025-07-02 07:10:00,SELL
2025-07-02 07:15:00,SELL
2025-07-02 07:20:00,SELL
2025-07-02 07:25:00,SELL
2025-07-02 07:30:00,SELL
2025-07-02 07:35:00,SELL
2025-07-02 07:40:00,SELL
2025-07-02 07:45:00,SELL
2025-07-02 07:50:00,SELL
2025-07-02 07:55:00,SELL
2025-07-02 08:00:00,SELL
2025-07-02 08:05:00,SELL
2025-07-02 08:10:00,SELL
2025-07-02 08:15:00,SELL
2025-07-02 08:20:00,SELL
2025-07-02 08:25:00,SELL
2025-07-02 08:30:00,SELL
2025-07-02 08:35:00,SELL
2025-07-02 08:40:00,SELL
2025-07-02 08:45:00,SELL
2025-07-02 08:50:00,SELL
2025-07-02 08:55:00,BUY
2025-07-02 09:00:00,BUY
2025-07-02 09:05:00,BUY
2025-07-02 09:10:00,BUY
2025-07-02 09:15:00,BUY
2025-07-02 09:20:00,BUY
2025-07-02 09:25:00,BUY
2025-07-02 09:30:00,BUY
2025-07-02 09:35:00,BUY
2025-07-02 09:40:00,BUY
2025-07-02 09:45:00,BUY
2025-07-02 09:50:00,BUY
2025-07-02 09:55:00,BUY
2025-07-03 03:45:00,BUY
2025-07-03 03:50:00,BUY
2025-07-03 03:55:00,BUY
2025-07-03 04:00:00,BUY
2025-07-03 04:05:00,BUY
2025-07-03 04:10:00,BUY
2025-07-03 04:15:00,BUY
2025-07-03 04:20:00,BUY
2025-07-03 04:25:00,BUY
2025-07-03 04:30:00,BUY
2025-07-03 04:35:00,BUY
2025-07-03 04:40:00,BUY
2025-07-03 04:45:00,BUY
2025-07-03 04:50:00,BUY
